District,Encoded_Value
kozhikodecommr,430
kozhikoderural,431
krishna,432
krishnagiri,433
kulgam,434
kullu,435
kupwara,436
kurnool,437
kurukshetra,438
kushinagar,439
kutch,440
kutcheastg,441
kutchwestbhuj,442
lahaulspiti,443
lakhimpur,444
lakhisarai,445
lakshadweep,446
lalitpur,447
latehar,448
latur,449
lawngtlai,450
leh,451
lohardagga,452
lohit,453
longleng,454
lucknow,455
ludhiana,456
ludhianarural,457
lunglei,458
madhepura,459
madhubani,460
madurairural,461
maduraiurban,462
mahaboobnagar,463
maharajganj,464
mahasamund,465
mahendragarh,466
mahoba,467
mainpuri,468
majitha,469
malappuram,470
malda,471
malkangir,472
mamit,473
mandi,474
mandla,475
mandsaur,476
mandya,477
mangalorecity,478
mansa,479
mathura,480
mau,481
mayurbhanj,482
medak,483
meerut,484
mehsana,485
mewat,486
midnapur,487
mirzapur,488
moga,489
mokokchung,490
mon,491
moradabad,492
morena,493
morigaon,494
motihari,495
muktsar,496
mumbai,497
mumbaicommr,498
mumbairly,499
mungeli,500
munger,501
murshidabad,502
muzaffarnagar,503
muzaffarpur,504
muzaffarpurrly,505
mysorecommr,506
mysorerural,507
nadia,508
nagaon,509
nagapattinam,510
nagaur,511
nagpurcommr,512
nagpurrly,513
nagpurrural,514
nainital,515
nalanda,516
nalbari,517
nalgonda,518
namakkal,519
nanded,520
nandurbar,521
narayanpur,522
narmada,523
narsinghpur,524
nasikcommr,525
nasikrural,526
naugachia,527
navimumbai,528
navsari,529
nawadah,530
nawanshahr,531
nayagarh,532
nchills,533
neemuch,534
nellore,535
newdelhi,536
nicobar,537
nilgiris,538
nizamabad,539
north,540
northdelhi,541
northeastdelhi,542
northgoa,543
northwestdelhi,544
nowrangpur,545
nuapada,546
osmanabad,547
outer,548
outerdelhi,549
pakur,550
palakkad,551
palamu,552
palanpur,553
pali,554
palwal,555
panchkula,556
panchmahal,557
panchshilnagar,558
panipat,559
panna,560
papumpare,561
parbhani,562
paschimmidnapur,563
patan,564
pathanamthitta,565
pathankot,566
patiala,567
patna,568
patnarly,569
paurigarhwal,570
perambalur,571
peren,572
phek,573
pilibhit,574
pithoragarh,575
pondicherry,576
poonch,577
porbandar,578
prabuddhnagar,579
prakasham,580
pratapgarh,581
puducherry,582
pudukottai,583
pulwama,584
punecommr,585
punerly,586
punerural,587
purabmidnapur,588
puri,589
purnea,590
purulia,591
raibareilly,592
raichur,593
raigad,594
raigarh,595
railways,596
railwaysjammu,597
railwayskashmir,598
railwayskatra,599
railwayskmr,600
raipur,601
raisen,602
rajahmundry,603
rajgarh,604
rajkotcommr,605
rajkotrural,606
rajnandgaon,607
rajouri,608
rajsamand,609
ramabainagar,610
ramanagar,611
ramban,612
ramgarh,613
ramnathapuram,614
rampur,615
ranchi,616
rangareddy,617
ratlam,618
ratnagiri,619
rayagada,620
reasi,621
rewa,622
rewari,623
ribhoi,624
rohtak,625
rohtas,626
ropar,627
rourkela,628
rpo,629
rudraprayag,630
rural,631
sagar,632
saharanpur,633
saharsa,634
sahebganj,635
saiha,636
salemrural,637
salemurban,638
samastipur,639
samba,640
sambalpur,641
sangli,642
sangrur,643
santkabirnagar,644
saraikela,645
saran,646
sarguja,647
sasngr,648
satara,649
satna,650
sawaimadhopur,651
sbsnagar,652
sealdahgrp,653
secunderabadrly,654
senapati,655
seoni,656
serchhip,657
shahdara,658
shahdol,659
shahjahanpur,660
shajapur,661
sheikhpura,662
sheohar,663
sheopur,664
shimla,665
shimoga,666
shivpuri,667
shopian,668
shrawasti,669
siangeast,670
siangupper,671
siangwest,672
sibsagar,673
sidharthnagar,674
sidhi,675
sihore,676
sikar,677
siligurigrp,678
siliguripc,679
simdega,680
sindhudurg,681
singrauli,682
sipahijala,683
sirmaur,684
sirohi,685
sirsa,686
sitamarhi,687
sitapur,688
sivagangai,689
siwan,690
solan,691
solapurcommr,692
solapurrural,693
sonbhadra,694
sonepur,695
sonipat,696
sonitpur,697
sopore,698
south,699
southdelhi,700
southeastdelhi,701
southgoa,702
southwestdelhi,703
splcell,704
srikakulam,705
srinagar,706
srpcuttack,707
srprourkela,708
stf,709
stravidasnagar,710
subansirilower,711
subansiriupper,712
sukma,713
sultanpur,714
sundargarh,715
supaul,716
surajpur,717
suratcommr,718
suratrural,719
surendranagar,720
tamenglong,721
tapi,722
tarntaran,723
tawang,724
tehrigarhwal,725
thanecommr,726
thanerural,727
thanjavur,728
theni,729
thirunelvelirural,730
thirunelveliurban,731
thiruvallur,732
thiruvannamalai,733
thiruvarur,734
thoothugudi,735
thoubal,736
thrissur,737
thrissurcommr,738
thrissurrural,739
tikamgarh,740
tinsukia,741
tirap,742
tirupathiurban,743
tiruppur,744
tonk,745
trichyrly,746
trichyrural,747
trichyurban,748
trivandrum,749
trivandrumcommr,750
trivandrumrural,751
tuensang,752
tumkur,753
udaipur,754
udalguri,755
udhampur,756
udhamsinghnagar,757
udupi,758
ujjain,759
ukhrul,760
umariya,761
una,762
unakoti,763
unnao,764
upperdibangvalley,765
uttardinajpur,766
uttarkannada,767
uttarkashi,768
vadodaracommr,769
vadodararural,770
vaishali,771
valsad,772
varanasi,773
vellore,774
vidisha,775
vijayawada,776
vijayawadacity,777
vijayawadarly,778
villupuram,779
viluppuram,780
virudhunagar,781
visakhapatnam,782
visakharural,783
vizianagaram,784
warangal,785
warangalurban,786
wardha,787
washim,788
wayanadu,789
west,790
westdelhi,791
westgodavari,792
wokha,793
wrly,794
wrlyahmedabad,795
wrlyvadodara,796
yadgiri,797
yamunanagar,798
yavatmal,799
zunheboto,800
